asr,diar,oracle,clip_id,cp_errors,cp_len,di_errors,di_len,wer_errors,wer_len,wder_errors,wder_len,ref_words,hyp_words,ref_spk,hyp_spk
indicconformer,sortformer+rule,False,6f6TLzlP8Wk__000082000_000144000,243,236,236,236,236,236,35,76,236,76,2,3
indicconformer,sortformer+rule,False,7L4gi7Ncc0s__000090000_000148000,66,125,66,125,62,125,2,107,125,117,2,2
indicconformer,sortformer+rule,False,7YfsQPYY-W0__000351000_000411000,208,208,208,208,208,208,6,14,208,14,2,2
indicconformer,sortformer+rule,False,7c9ePKgqams__000299000_000869000,850,1522,850,1522,836,1522,45,1085,1522,1118,4,3
indicconformer,sortformer+rule,False,87Zbup3ohcw__000106000_000445000,569,749,569,749,569,749,0,298,749,300,4,4
indicconformer,sortformer+rule,False,8Ve4SWhlrrA__000000000_000070000,34,133,34,133,33,133,1,125,133,127,2,1
indicconformer,sortformer+rule,False,8pkp-lpMJP0__000326000_000926000,1282,1535,1282,1535,1241,1535,124,583,1535,585,8,4
indicconformer,sortformer+rule,False,8r2Nltl0W4o__000259000_000320000,131,253,131,253,131,253,0,159,253,175,2,1
indicconformer,sortformer+rule,False,90uAd6xpTPo__000016000_000408000,1292,1212,1292,1212,1212,1212,806,831,1212,831,4,4
indicconformer,sortformer+rule,False,9Aw8kg8w5Xo__000000000_000083000,117,199,117,199,115,199,2,120,199,122,4,2
indicconformer,sortformer+rule,False,9_GMxc_JjyI__000236000_000368000,217,371,217,371,213,371,6,259,371,263,2,2
indicconformer,sortformer+rule,False,ARCKJrGkITw__000014000_000496000,1131,1375,1131,1375,784,1375,242,913,1375,922,3,2
indicconformer,sortformer+rule,False,ARZl7LT0UC0__000073000_000130000,138,153,138,153,138,153,11,48,153,49,3,3
indicconformer,sortformer+rule,False,A_dohDOK6Ic__000000000_000600000,1829,1829,1829,1829,1829,1829,241,733,1829,733,3,3
indicconformer,sortformer+rule,False,B2ScTgeIIck__000117000_000180000,128,174,128,174,130,174,7,67,174,69,2,2
indicconformer,sortformer+rule,False,Cku_X_SL7qU__000060000_000660000,1778,1778,1778,1778,1778,1778,79,214,1778,214,3,3
indicconformer,sortformer+rule,False,DPmew0didIM__000191000_000512000,580,768,580,768,500,768,90,425,768,434,5,4
indicconformer,sortformer+rule,False,EmsKkNN2Me4__000035000_000095000,156,179,156,179,156,179,14,53,179,53,2,2
indicconformer,sortformer+rule,False,ExGJodnzocM__000212000_000527000,1161,1161,1161,1161,1161,1161,185,270,1161,270,4,3
indicconformer,sortformer+rule,False,G6qzg93FxwE__000021000_000116000,163,267,163,267,163,267,1,130,267,132,2,2
indicconformer,sortformer+rule,False,GEc_sS2KWo8__000096000_000290000,433,518,433,518,433,518,6,162,518,162,4,3
indicconformer,sortformer+rule,False,GfFLEIAAumk__000090000_000163000,193,216,193,216,191,216,4,53,216,53,2,2
indicconformer,sortformer+rule,False,HZv_WvIr6lE__000021000_000105000,240,260,240,260,240,260,8,48,260,48,3,2
indicconformer,sortformer+rule,False,IAm1rt-MYcA__000004000_000558000,1344,1688,1344,1688,1318,1688,49,564,1688,571,4,3
indicconformer,sortformer+rule,False,Iare1Emeueg__000016000_000069000,139,139,139,139,139,139,10,15,139,15,2,2
indicconformer,sortformer+rule,False,IfTL8SSN270__000062000_000671000,2214,2214,2214,2214,2214,2214,728,1060,2214,1060,4,4
indicconformer,sortformer+rule,False,Ig6szCD8m20__000046000_000106000,104,193,104,193,97,193,8,141,193,149,2,2
indicconformer,sortformer+rule,False,Iqhnt8ENm3U__000027000_000088000,153,177,153,177,154,177,21,49,177,49,3,2
indicconformer,sortformer+rule,False,J4-VpEkBzWw__000000000_000600000,1491,1552,1491,1552,944,1552,405,967,1552,980,7,4
indicconformer,sortformer+rule,False,JBYGLQJwFDc__000103000_000407000,625,680,625,680,624,680,8,119,680,122,3,3
indicconformer,sortformer+rule,False,Jc5AVwg2cZM__000153000_000214000,158,172,156,172,154,172,14,51,172,51,3,3
indicconformer,sortformer+rule,False,KAtdcDieQMw__000057000_000599000,1261,1742,1261,1742,1245,1742,64,930,1742,938,3,3
indicconformer,sortformer+rule,False,KPkRi3GM7fs__000047000_000642000,810,1773,810,1773,790,1773,24,1477,1773,1501,3,3
indicconformer,sortformer+rule,False,Kdi-ECuOaKg__000002000_000078000,79,91,79,91,54,91,17,62,91,63,6,2
indicconformer,sortformer+rule,False,L7xRazDdtgw__000019000_000083000,102,102,102,102,102,102,17,21,102,21,3,1
indicconformer,sortformer+rule,False,LK23jX9tgZM__000059000_000221000,469,548,469,548,469,548,1,90,548,90,3,2
indicconformer,sortformer+rule,False,LctYmmr9-Vg__000000000_000061000,113,139,113,139,109,139,10,54,139,54,2,2
indicconformer,sortformer+rule,False,LqQHdo7t5Ps__000198000_000498000,478,692,478,692,337,692,103,470,692,476,3,2
indicconformer,sortformer+rule,False,Md3p6RTanBg__000315000_000426000,194,298,194,298,190,298,2,145,298,147,3,3
indicconformer,sortformer+rule,False,MmtWBUK2DKE__000000000_000310000,1345,1083,1345,1083,1083,1083,449,643,1083,643,5,2
indicconformer,sortformer+rule,False,NLgHpYyf5bY__000313000_000383000,240,240,240,240,240,240,64,192,240,192,2,2
indicconformer,sortformer+rule,False,NuhdqCEuIBo__000197000_000540000,993,1369,993,1369,989,1369,39,503,1369,504,3,3
indicconformer,sortformer+rule,False,O4_aeGFzZ8A__000000000_000335000,714,702,714,702,433,702,196,454,702,459,8,4
indicconformer,sortformer+rule,False,OXUt5KnlUMo__000091000_000181000,185,248,185,248,186,248,9,113,248,115,2,2
indicconformer,sortformer+rule,False,PCUA2q2C-2A__000045000_000107000,48,154,48,154,46,154,1,144,154,151,3,3
indicconformer,sortformer+rule,False,PEDfT9-Yf2o__000000000_000469000,850,1051,850,1051,407,1051,247,768,1051,781,3,2
indicconformer,sortformer+rule,False,PRAzUz0GANs__000223000_000283000,166,194,166,194,166,194,9,83,194,83,2,2
indicconformer,sortformer+rule,False,PVDfS7lcJHY__000000000_000360000,965,1036,965,1036,868,1036,166,345,1036,348,6,4
indicconformer,sortformer+rule,False,Pjre5dpnKGA__000000000_000330000,642,769,642,769,641,769,29,274,769,274,4,3
indicconformer,sortformer+rule,False,QhpjuNTZoA8__000000000_000586000,1464,1572,1455,1572,1157,1572,367,838,1572,848,3,3
indicconformer,sortformer+rule,False,RL2fhIEEbZg__000000000_000065000,111,164,111,164,111,164,5,72,164,72,3,2
indicconformer,sortformer+rule,False,RWTmftezCwI__000000000_000060000,90,119,90,119,90,119,1,59,119,60,2,2
indicconformer,sortformer+rule,False,RZUZyvRzi80__000000000_000336000,577,1085,577,1085,327,1085,153,885,1085,902,4,3
indicconformer,sortformer+rule,False,T3I2T-cfhG4__000160000_000210000,53,116,53,116,53,116,0,88,116,90,2,2
indicconformer,sortformer+rule,False,TU3M6wSQV_g__000099000_000171000,151,216,151,216,148,216,5,103,216,104,2,2
indicconformer,sortformer+rule,False,Tlha36rSd5o__000240000_000374000,252,318,252,318,248,318,2,149,318,154,2,2
indicconformer,sortformer+rule,False,TrPnW5kLAyQ__000093000_000513000,762,1099,762,1099,757,1099,32,573,1099,580,4,4
indicconformer,sortformer+rule,False,U_EHjxThUgc__000181000_000289000,136,299,136,299,132,299,3,204,299,208,3,3
indicconformer,sortformer+rule,False,VHlIFsHPWbk__000023000_000470000,802,1329,802,1329,713,1329,83,889,1329,904,4,4
indicconformer,sortformer+rule,False,VKY0uuZ6Om8__000575000_000935000,758,1077,758,1077,757,1077,17,468,1077,471,3,3
indicconformer,sortformer+rule,False,VY_4x1scS-Y__000013000_000121000,319,336,319,336,319,336,7,59,336,60,4,2
indicconformer,sortformer_stream,False,0AEEA8NyVwY__000011000_000609000,762,1333,762,1333,761,1333,23,815,1333,826,3,3
indicconformer,sortformer_stream,False,0SoItGfM_sY__000007000_000088000,117,165,117,165,107,165,14,115,165,117,5,3
indicconformer,sortformer_stream,False,0VEwL9XZ0LY__000261000_000557000,597,873,571,873,268,873,328,751,873,768,2,3
indicconformer,sortformer_stream,False,0esIFSOAcFs__000000000_000913000,2159,2748,2159,2748,1966,2748,376,1117,2748,1133,3,3
indicconformer,sortformer_stream,False,0p6cktLGIfY__000012000_000930000,2104,2567,2104,2567,2084,2567,79,755,2567,760,6,4
indicconformer,sortformer_stream,False,13VBh0Z6QmE__000000000_000904000,2478,2499,2478,2499,2470,2499,67,104,2499,104,4,4
indicconformer,sortformer_stream,False,1LFl5JEipII__000000000_000597000,1535,1590,1535,1590,1494,1590,111,195,1590,196,5,4
indicconformer,sortformer_stream,False,2HGP34TNvjg__000084000_000194000,258,296,243,296,174,296,70,198,296,205,2,3
indicconformer,sortformer_stream,False,2LN6vb7EBn0__000098000_000394000,745,751,745,751,743,751,15,30,751,30,3,2
indicconformer,sortformer_stream,False,2T4pjueLrsk__000677000_001290000,2168,2314,2167,2314,2132,2314,172,338,2314,340,4,4
indicconformer,sortformer_stream,False,2gGHQgj9yno__000000000_000099000,268,285,268,285,266,285,9,30,285,30,4,3
indicconformer,sortformer_stream,False,2iMXYxBTwbM__000339000_000401000,181,188,181,188,181,188,12,26,188,26,3,2
indicconformer,sortformer_stream,False,37dND_0r6S8__000060000_000222000,556,557,556,557,556,557,0,1,557,1,2,1
indicconformer,sortformer_stream,False,4Qg2jWP6_T0__000136000_000202000,252,266,252,266,248,266,21,49,266,54,3,2
indicconformer,sortformer_stream,False,6-726qTlYeg__000102000_000162000,204,214,204,214,206,214,9,52,214,52,2,2
indicconformer,sortformer_stream,False,6ZeRgvDHwcI__000006000_000100000,170,189,170,189,169,189,27,50,189,50,2,2
indicconformer,sortformer_stream,False,6f6TLzlP8Wk__000082000_000144000,236,236,236,236,236,236,27,76,236,76,2,2
indicconformer,sortformer_stream,False,7L4gi7Ncc0s__000090000_000148000,66,125,66,125,62,125,2,107,125,117,2,2
indicconformer,sortformer_stream,False,7WhVNRHbjIY__000091000_001089000,2379,2482,2379,2482,2369,2482,70,275,2482,276,5,4
indicconformer,sortformer_stream,False,7YfsQPYY-W0__000351000_000411000,208,208,208,208,208,208,4,14,208,14,2,2
indicconformer,sortformer_stream,False,7c9ePKgqams__000299000_000869000,1341,1522,1358,1522,836,1522,649,1085,1522,1118,4,4
indicconformer,sortformer_stream,False,7k-xDqNjESc__000073000_000981000,1580,2239,1580,2239,1294,2239,312,1574,2239,1611,4,3
indicconformer,sortformer_stream,False,83gP2vLH7UY__000255000_002005000,5130,5799,5193,5799,3883,5799,1845,2699,5799,2731,5,4
indicconformer,sortformer_stream,False,86mMTUeDiR8__000181000_001079000,2167,2393,2167,2393,2068,2393,159,508,2393,512,5,3
indicconformer,sortformer_stream,False,87Zbup3ohcw__000106000_000445000,640,749,640,749,569,749,139,298,749,300,4,3
indicconformer,sortformer_stream,False,8Ve4SWhlrrA__000000000_000070000,34,133,34,133,33,133,1,125,133,127,2,1
indicconformer,sortformer_stream,False,8mvORuRHw2U__000000000_001197000,3094,3492,3094,3492,2916,3492,361,782,3492,803,4,4
indicconformer,sortformer_stream,False,8o7jKmq6HsM__000030000_001770000,4160,4572,4160,4572,3732,4572,805,1480,4572,1490,6,4
indicconformer,sortformer_stream,False,8pkp-lpMJP0__000326000_000926000,1274,1535,1274,1535,1241,1535,140,583,1535,585,8,4
indicconformer,sortformer_stream,False,8r2Nltl0W4o__000259000_000320000,131,253,131,253,131,253,0,159,253,175,2,1
indicconformer,sortformer_stream,False,90uAd6xpTPo__000016000_000408000,1367,1212,1367,1212,1212,1212,324,831,1212,831,4,2
indicconformer,sortformer_stream,False,9Aw8kg8w5Xo__000000000_000083000,148,199,119,199,115,199,21,120,199,122,4,3
indicconformer,sortformer_stream,False,9_GMxc_JjyI__000236000_000368000,218,371,218,371,213,371,9,259,371,263,2,2
indicconformer,sortformer_stream,False,ARCKJrGkITw__000014000_000496000,1112,1375,1112,1375,784,1375,365,913,1375,922,3,3
indicconformer,sortformer_stream,False,ARZl7LT0UC0__000073000_000130000,138,153,138,153,138,153,13,48,153,49,3,3
indicconformer,sortformer_stream,False,A_dohDOK6Ic__000000000_000600000,1829,1829,1829,1829,1829,1829,440,733,1829,733,3,3
indicconformer,sortformer_stream,False,B2ScTgeIIck__000117000_000180000,128,174,128,174,130,174,4,67,174,69,2,2
indicconformer,sortformer_stream,False,BGAAfht5dYw__000000000_000612000,2105,2105,2105,2105,2105,2105,124,234,2105,234,4,3
indicconformer,sortformer_stream,False,BYLcUGNB_zM__000020000_001387000,1940,3287,1940,3287,1730,3287,212,2514,3287,2585,4,4
indicconformer,sortformer_stream,False,Bngfppo1QtA__000028000_000927000,2214,2456,2214,2456,2068,2456,194,700,2456,708,5,4
indicconformer,sortformer_stream,False,CO_8ppdzq9U__000000000_000695000,1613,1591,1613,1591,1278,1591,552,738,1591,755,4,4
indicconformer,sortformer_stream,False,Cku_X_SL7qU__000060000_000660000,1780,1778,1778,1778,1778,1778,153,214,1778,214,3,4
indicconformer,sortformer_stream,False,DPmew0didIM__000191000_000512000,535,768,535,768,500,768,88,425,768,434,5,4
indicconformer,sortformer_stream,False,EmsKkNN2Me4__000035000_000095000,158,179,158,179,156,179,15,53,179,53,2,2
indicconformer,sortformer_stream,False,ExGJodnzocM__000212000_000527000,1161,1161,1161,1161,1161,1161,220,270,1161,270,4,4
indicconformer,sortformer_stream,False,F2uXav-wriA__000000000_000907000,2953,2765,2953,2765,2765,2765,1158,1643,2765,1643,4,4
indicconformer,sortformer_stream,False,FDMf9ApmoNU__000016000_000686000,1461,1670,1453,1670,1446,1670,55,354,1670,359,4,3
indicconformer,sortformer_stream,False,G6qzg93FxwE__000021000_000116000,163,267,163,267,163,267,1,130,267,132,2,2
indicconformer,sortformer_stream,False,GEc_sS2KWo8__000096000_000290000,463,518,460,518,433,518,36,162,518,162,4,3
indicconformer,sortformer_stream,False,GfFLEIAAumk__000090000_000163000,191,216,191,216,191,216,2,53,216,53,2,2
indicconformer,sortformer_stream,False,Gq45evw6ytY__000597000_001464000,2495,2740,2491,2740,2437,2740,201,525,2740,527,3,4
indicconformer,sortformer_stream,False,HZv_WvIr6lE__000021000_000105000,241,260,240,260,240,260,8,48,260,48,3,3
indicconformer,sortformer_stream,False,HpYG46tGyYs__000103000_000998000,1232,2552,1232,2552,492,2552,389,2389,2552,2492,4,4
indicconformer,sortformer_stream,False,IAm1rt-MYcA__000004000_000558000,1356,1688,1356,1688,1318,1688,87,564,1688,571,4,3
indicconformer,sortformer_stream,False,Iare1Emeueg__000016000_000069000,139,139,139,139,139,139,11,15,139,15,2,2
indicconformer,sortformer_stream,False,IfTL8SSN270__000062000_000671000,2214,2214,2214,2214,2214,2214,740,1060,2214,1060,4,4
indicconformer,sortformer_stream,False,Ig6szCD8m20__000046000_000106000,99,193,99,193,97,193,7,141,193,149,2,2
indicconformer,sortformer_stream,False,Iqhnt8ENm3U__000027000_000088000,155,177,153,177,154,177,19,49,177,49,3,3
indicconformer,sortformer_stream,False,J4-VpEkBzWw__000000000_000600000,1444,1552,1446,1552,944,1552,581,967,1552,980,7,4
indicconformer,sortformer_stream,False,JBYGLQJwFDc__000103000_000407000,628,680,628,680,624,680,15,119,680,122,3,2
indicconformer,sortformer_stream,False,JSB1CeS4pP8__000000000_000632000,1522,2088,1522,2088,1473,2088,119,807,2088,817,4,4
indicconformer,sortformer_stream,False,Jc5AVwg2cZM__000153000_000214000,156,172,156,172,154,172,9,51,172,51,3,3
indicconformer,sortformer_stream,False,KAtdcDieQMw__000057000_000599000,1593,1742,1587,1742,1245,1742,459,930,1742,938,3,4
indicconformer,sortformer_stream,False,KPkRi3GM7fs__000047000_000642000,1601,1773,1601,1773,790,1773,550,1477,1773,1501,3,2
indicconformer,sortformer_stream,False,Kdi-ECuOaKg__000002000_000078000,70,91,70,91,54,91,27,62,91,63,6,3
indicconformer,sortformer_stream,False,L7xRazDdtgw__000019000_000083000,102,102,102,102,102,102,15,21,102,21,3,2
indicconformer,sortformer_stream,False,LBIWBxQ5H1s__000090000_001020000,2214,2452,2214,2452,2007,2452,468,888,2452,896,4,4
indicconformer,sortformer_stream,False,LK23jX9tgZM__000059000_000221000,469,548,469,548,469,548,2,90,548,90,3,2
indicconformer,sortformer_stream,False,LctYmmr9-Vg__000000000_000061000,111,139,111,139,109,139,7,54,139,54,2,2
indicconformer,sortformer_stream,False,LqQHdo7t5Ps__000198000_000498000,339,692,339,692,337,692,19,470,692,476,3,3
indicconformer,sortformer_stream,False,Md3p6RTanBg__000315000_000426000,215,298,215,298,190,298,15,145,298,147,3,3
indicconformer,sortformer_stream,False,MmtWBUK2DKE__000000000_000310000,1176,1083,1176,1083,1083,1083,502,643,1083,643,5,2
indicconformer,sortformer_stream,False,NLgHpYyf5bY__000313000_000383000,240,240,240,240,240,240,61,192,240,192,2,2
indicconformer,sortformer_stream,False,NuhdqCEuIBo__000197000_000540000,994,1369,993,1369,989,1369,37,503,1369,504,3,4
indicconformer,sortformer_stream,False,O4_aeGFzZ8A__000000000_000335000,619,702,619,702,433,702,162,454,702,459,8,4
indicconformer,sortformer_stream,False,OXUt5KnlUMo__000091000_000181000,185,248,185,248,186,248,9,113,248,115,2,2
indicconformer,sortformer_stream,False,OxYCBQKZ3iY__000000000_001822000,5525,5525,5525,5525,5525,5525,1094,1338,5525,1338,7,4
indicconformer,sortformer_stream,False,PCUA2q2C-2A__000045000_000107000,48,154,48,154,46,154,1,144,154,151,3,3
indicconformer,sortformer_stream,False,PEDfT9-Yf2o__000000000_000469000,594,1051,594,1051,407,1051,147,768,1051,781,3,3
indicconformer,sortformer_stream,False,PQB3-4sZUeY__000000000_001132000,2874,3024,2874,3024,2709,3024,436,690,3024,694,4,4
indicconformer,sortformer_stream,False,PRAzUz0GANs__000223000_000283000,176,194,175,194,166,194,34,83,194,83,2,3
indicconformer,sortformer_stream,False,PSIzXy5-y2E__000002000_000918000,2064,2480,2063,2480,1731,2480,424,1268,2480,1281,3,4
indicconformer,sortformer_stream,False,PVDfS7lcJHY__000000000_000360000,942,1036,942,1036,868,1036,144,345,1036,348,6,4
indicconformer,sortformer_stream,False,Pjre5dpnKGA__000000000_000330000,674,769,661,769,641,769,102,274,769,274,4,4
indicconformer,sortformer_stream,False,QhpjuNTZoA8__000000000_000586000,1270,1572,1269,1572,1157,1572,247,838,1572,848,3,4
indicconformer,sortformer_stream,False,QuA_B6IZ6Ls__000061000_001863000,6635,6635,6635,6635,6635,6635,1889,2774,6635,2774,4,4
indicconformer,sortformer_stream,False,RL2fhIEEbZg__000000000_000065000,111,164,111,164,111,164,4,72,164,72,3,2
indicconformer,sortformer_stream,False,RL2fhIEEbZg__000066000_001034000,1858,2570,1830,2570,1779,2570,150,1236,2570,1248,3,4
indicconformer,sortformer_stream,False,RWTmftezCwI__000000000_000060000,90,119,90,119,90,119,1,59,119,60,2,2
indicconformer,sortformer_stream,False,RZUZyvRzi80__000000000_000336000,651,1085,651,1085,327,1085,183,885,1085,902,4,3
indicconformer,sortformer_stream,False,SZ7ay4OjfAE__000000000_000897000,2006,2159,2007,2159,1805,2159,535,720,2159,729,5,4
indicconformer,sortformer_stream,False,T3I2T-cfhG4__000160000_000210000,53,116,53,116,53,116,0,88,116,90,2,2
indicconformer,sortformer_stream,False,TU3M6wSQV_g__000099000_000171000,153,216,153,216,148,216,12,103,216,104,2,2
indicconformer,sortformer_stream,False,Tlha36rSd5o__000240000_000374000,250,318,250,318,248,318,1,149,318,154,2,2
indicconformer,sortformer_stream,False,TrPnW5kLAyQ__000093000_000513000,826,1099,826,1099,757,1099,88,573,1099,580,4,4
indicconformer,sortformer_stream,False,U_EHjxThUgc__000181000_000289000,194,299,194,299,132,299,36,204,299,208,3,2
indicconformer,sortformer_stream,False,VHlIFsHPWbk__000023000_000470000,1032,1329,1032,1329,713,1329,430,889,1329,904,4,4
indicconformer,sortformer_stream,False,VKY0uuZ6Om8__000575000_000935000,865,1077,865,1077,757,1077,132,468,1077,471,3,3
indicconformer,sortformer_stream,False,VY_4x1scS-Y__000013000_000121000,319,336,319,336,319,336,6,59,336,60,4,3
indicconformer,sortformer_stream+rule,False,0AEEA8NyVwY__000011000_000609000,761,1333,761,1333,761,1333,24,815,1333,826,3,3
indicconformer,sortformer_stream+rule,False,0SoItGfM_sY__000007000_000088000,117,165,117,165,107,165,14,115,165,117,5,3
indicconformer,sortformer_stream+rule,False,0VEwL9XZ0LY__000261000_000557000,596,873,566,873,268,873,327,751,873,768,2,3
indicconformer,sortformer_stream+rule,False,0esIFSOAcFs__000000000_000913000,2159,2748,2159,2748,1966,2748,375,1117,2748,1133,3,3
indicconformer,sortformer_stream+rule,False,0p6cktLGIfY__000012000_000930000,2105,2567,2105,2567,2084,2567,75,755,2567,760,6,4
indicconformer,sortformer_stream+rule,False,13VBh0Z6QmE__000000000_000904000,2476,2499,2476,2499,2470,2499,65,104,2499,104,4,4
indicconformer,sortformer_stream+rule,False,1LFl5JEipII__000000000_000597000,1535,1590,1535,1590,1494,1590,117,195,1590,196,5,4
indicconformer,sortformer_stream+rule,False,2HGP34TNvjg__000084000_000194000,262,296,243,296,174,296,72,198,296,205,2,3
indicconformer,sortformer_stream+rule,False,2LN6vb7EBn0__000098000_000394000,745,751,745,751,743,751,13,30,751,30,3,2
indicconformer,sortformer_stream+rule,False,2T4pjueLrsk__000677000_001290000,2170,2314,2148,2314,2132,2314,173,338,2314,340,4,3
indicconformer,sortformer_stream+rule,False,2gGHQgj9yno__000000000_000099000,266,285,266,285,266,285,8,30,285,30,4,2
indicconformer,sortformer_stream+rule,False,2iMXYxBTwbM__000339000_000401000,181,188,181,188,181,188,12,26,188,26,3,2
indicconformer,sortformer_stream+rule,False,37dND_0r6S8__000060000_000222000,556,557,556,557,556,557,0,1,557,1,2,1
indicconformer,sortformer_stream+rule,False,4Qg2jWP6_T0__000136000_000202000,249,266,249,266,248,266,21,49,266,54,3,2
indicconformer,sortformer_stream+rule,False,6-726qTlYeg__000102000_000162000,204,214,204,214,206,214,12,52,214,52,2,2
indicconformer,sortformer_stream+rule,False,6ZeRgvDHwcI__000006000_000100000,171,189,171,189,169,189,27,50,189,50,2,2
indicconformer,sortformer_stream+rule,False,6f6TLzlP8Wk__000082000_000144000,236,236,236,236,236,236,28,76,236,76,2,2
indicconformer,sortformer_stream+rule,False,7L4gi7Ncc0s__000090000_000148000,66,125,66,125,62,125,2,107,125,117,2,2
indicconformer,sortformer_stream+rule,False,7WhVNRHbjIY__000091000_001089000,2380,2482,2380,2482,2369,2482,72,275,2482,276,5,4
indicconformer,sortformer_stream+rule,False,7YfsQPYY-W0__000351000_000411000,208,208,208,208,208,208,6,14,208,14,2,2
indicconformer,sortformer_stream+rule,False,7c9ePKgqams__000299000_000869000,1340,1522,1361,1522,836,1522,648,1085,1522,1118,4,4
indicconformer,sortformer_stream+rule,False,7k-xDqNjESc__000073000_000981000,1586,2239,1586,2239,1294,2239,306,1574,2239,1611,4,3
indicconformer,sortformer_stream+rule,False,83gP2vLH7UY__000255000_002005000,5138,5799,5186,5799,3883,5799,1845,2699,5799,2731,5,4
indicconformer,sortformer_stream+rule,False,86mMTUeDiR8__000181000_001079000,2165,2393,2165,2393,2068,2393,165,508,2393,512,5,3
indicconformer,sortformer_stream+rule,False,87Zbup3ohcw__000106000_000445000,638,749,638,749,569,749,136,298,749,300,4,3
indicconformer,sortformer_stream+rule,False,8Ve4SWhlrrA__000000000_000070000,34,133,34,133,33,133,1,125,133,127,2,1
indicconformer,sortformer_stream+rule,False,8mvORuRHw2U__000000000_001197000,3099,3492,3099,3492,2916,3492,365,782,3492,803,4,4
indicconformer,sortformer_stream+rule,False,8o7jKmq6HsM__000030000_001770000,4154,4572,4154,4572,3732,4572,795,1480,4572,1490,6,4
indicconformer,sortformer_stream+rule,False,8pkp-lpMJP0__000326000_000926000,1273,1535,1273,1535,1241,1535,136,583,1535,585,8,4
indicconformer,sortformer_stream+rule,False,8r2Nltl0W4o__000259000_000320000,131,253,131,253,131,253,0,159,253,175,2,1
indicconformer,sortformer_stream+rule,False,90uAd6xpTPo__000016000_000408000,1367,1212,1367,1212,1212,1212,319,831,1212,831,4,2
indicconformer,sortformer_stream+rule,False,9Aw8kg8w5Xo__000000000_000083000,146,199,121,199,115,199,20,120,199,122,4,3
indicconformer,sortformer_stream+rule,False,9_GMxc_JjyI__000236000_000368000,217,371,217,371,213,371,6,259,371,263,2,2
indicconformer,sortformer_stream+rule,False,ARCKJrGkITw__000014000_000496000,1106,1375,1106,1375,784,1375,362,913,1375,922,3,3
indicconformer,sortformer_stream+rule,False,ARZl7LT0UC0__000073000_000130000,138,153,138,153,138,153,11,48,153,49,3,3
indicconformer,sortformer_stream+rule,False,A_dohDOK6Ic__000000000_000600000,1829,1829,1829,1829,1829,1829,441,733,1829,733,3,3
indicconformer,sortformer_stream+rule,False,B2ScTgeIIck__000117000_000180000,128,174,128,174,130,174,7,67,174,69,2,2
indicconformer,sortformer_stream+rule,False,BGAAfht5dYw__000000000_000612000,2105,2105,2105,2105,2105,2105,124,234,2105,234,4,3
indicconformer,sortformer_stream+rule,False,BYLcUGNB_zM__000020000_001387000,1938,3287,1938,3287,1730,3287,207,2514,3287,2585,4,4
indicconformer,sortformer_stream+rule,False,Bngfppo1QtA__000028000_000927000,2217,2456,2217,2456,2068,2456,194,700,2456,708,5,4
indicconformer,sortformer_stream+rule,False,CO_8ppdzq9U__000000000_000695000,1626,1591,1626,1591,1278,1591,559,738,1591,755,4,4
indicconformer,sortformer_stream+rule,False,Cku_X_SL7qU__000060000_000660000,1781,1778,1778,1778,1778,1778,82,214,1778,214,3,4
indicconformer,sortformer_stream+rule,False,DPmew0didIM__000191000_000512000,538,768,538,768,500,768,91,425,768,434,5,4
indicconformer,sortformer_stream+rule,False,EmsKkNN2Me4__000035000_000095000,156,179,156,179,156,179,14,53,179,53,2,2
indicconformer,sortformer_stream+rule,False,ExGJodnzocM__000212000_000527000,1161,1161,1161,1161,1161,1161,214,270,1161,270,4,4
indicconformer,sortformer_stream+rule,False,F2uXav-wriA__000000000_000907000,2956,2765,2956,2765,2765,2765,1160,1643,2765,1643,4,4
indicconformer,sortformer_stream+rule,False,FDMf9ApmoNU__000016000_000686000,1460,1670,1452,1670,1446,1670,58,354,1670,359,4,3
indicconformer,sortformer_stream+rule,False,G6qzg93FxwE__000021000_000116000,163,267,163,267,163,267,1,130,267,132,2,2
indicconformer,sortformer_stream+rule,False,GEc_sS2KWo8__000096000_000290000,458,518,456,518,433,518,33,162,518,162,4,3
indicconformer,sortformer_stream+rule,False,GfFLEIAAumk__000090000_000163000,193,216,193,216,191,216,4,53,216,53,2,2
indicconformer,sortformer_stream+rule,False,Gq45evw6ytY__000597000_001464000,2493,2740,2489,2740,2437,2740,202,525,2740,527,3,4
indicconformer,sortformer_stream+rule,False,HZv_WvIr6lE__000021000_000105000,241,260,241,260,240,260,10,48,260,48,3,3
indicconformer,sortformer_stream+rule,False,HpYG46tGyYs__000103000_000998000,1229,2552,1229,2552,492,2552,387,2389,2552,2492,4,4
indicconformer,sortformer_stream+rule,False,IAm1rt-MYcA__000004000_000558000,1362,1688,1362,1688,1318,1688,86,564,1688,571,4,3
indicconformer,sortformer_stream+rule,False,Iare1Emeueg__000016000_000069000,139,139,139,139,139,139,10,15,139,15,2,2
indicconformer,sortformer_stream+rule,False,IfTL8SSN270__000062000_000671000,2214,2214,2214,2214,2214,2214,733,1060,2214,1060,4,4
indicconformer,sortformer_stream+rule,False,Ig6szCD8m20__000046000_000106000,104,193,104,193,97,193,8,141,193,149,2,2
indicconformer,sortformer_stream+rule,False,Iqhnt8ENm3U__000027000_000088000,153,177,150,177,154,177,20,49,177,49,3,3
