asr,diar,oracle,clip_id,cp_errors,cp_len,di_errors,di_len,wer_errors,wer_len,wder_errors,wder_len,ref_words,hyp_words,ref_spk,hyp_spk
indicconformer,pyannote31,False,Gq45evw6ytY__000597000_001464000,2442,2740,2442,2740,2437,2740,64,525,2740,527,3,3
indicconformer,pyannote31,False,HZv_WvIr6lE__000021000_000105000,240,260,240,260,240,260,6,48,260,48,3,2
indicconformer,pyannote31,False,HpYG46tGyYs__000103000_000998000,500,2552,500,2552,492,2552,9,2389,2552,2492,4,4
indicconformer,pyannote31,False,IAm1rt-MYcA__000004000_000558000,1317,1688,1317,1688,1318,1688,24,564,1688,571,4,4
indicconformer,pyannote31,False,Iare1Emeueg__000016000_000069000,139,139,139,139,139,139,11,15,139,15,2,2
indicconformer,pyannote31,False,IfTL8SSN270__000062000_000671000,2214,2214,2214,2214,2214,2214,725,1060,2214,1060,4,4
indicconformer,pyannote31,False,Ig6szCD8m20__000046000_000106000,103,193,103,193,97,193,5,141,193,149,2,2
indicconformer,pyannote31,False,Iqhnt8ENm3U__000027000_000088000,153,177,153,177,154,177,16,49,177,49,3,3
indicconformer,pyannote31,False,J4-VpEkBzWw__000000000_000600000,944,1552,944,1552,944,1552,39,967,1552,980,7,7
indicconformer,pyannote31,False,JBYGLQJwFDc__000103000_000407000,628,680,628,680,624,680,15,119,680,122,3,2
indicconformer,pyannote31,False,JSB1CeS4pP8__000000000_000632000,1474,2088,1474,2088,1473,2088,33,807,2088,817,4,4
indicconformer,pyannote31,False,Jc5AVwg2cZM__000153000_000214000,156,172,156,172,154,172,8,51,172,51,3,3
indicconformer,pyannote31,False,KAtdcDieQMw__000057000_000599000,1258,1742,1258,1742,1245,1742,70,930,1742,938,3,3
indicconformer,pyannote31,False,KPkRi3GM7fs__000047000_000642000,868,1773,868,1773,790,1773,63,1477,1773,1501,3,3
indicconformer,pyannote31,False,Kdi-ECuOaKg__000002000_000078000,62,91,61,91,54,91,6,62,91,63,6,4
indicconformer,pyannote31,False,L7xRazDdtgw__000019000_000083000,103,102,102,102,102,102,14,21,102,21,3,4
indicconformer,pyannote31,False,LBIWBxQ5H1s__000090000_001020000,2013,2452,2013,2452,2007,2452,88,888,2452,896,4,4
indicconformer,pyannote31,False,LK23jX9tgZM__000059000_000221000,469,548,469,548,469,548,1,90,548,90,3,2
indicconformer,pyannote31,False,LctYmmr9-Vg__000000000_000061000,111,139,111,139,109,139,6,54,139,54,2,2
indicconformer,pyannote31,False,LqQHdo7t5Ps__000198000_000498000,338,692,338,692,337,692,16,470,692,476,3,3
indicconformer,pyannote31,False,Md3p6RTanBg__000315000_000426000,194,298,194,298,190,298,2,145,298,147,3,3
indicconformer,pyannote31,False,MmtWBUK2DKE__000000000_000310000,1084,1083,1084,1083,1083,1083,530,643,1083,643,5,4
indicconformer,pyannote31,False,NLgHpYyf5bY__000313000_000383000,240,240,240,240,240,240,62,192,240,192,2,2
indicconformer,pyannote31,False,NuhdqCEuIBo__000197000_000540000,993,1369,993,1369,989,1369,40,503,1369,504,3,3
indicconformer,pyannote31,False,O4_aeGFzZ8A__000000000_000335000,433,702,433,702,433,702,6,454,702,459,8,8
indicconformer,pyannote31,False,OXUt5KnlUMo__000091000_000181000,185,248,185,248,186,248,9,113,248,115,2,2
indicconformer,pyannote31,False,OxYCBQKZ3iY__000000000_001822000,5525,5525,5525,5525,5525,5525,1087,1338,5525,1338,7,6
indicconformer,pyannote31,False,PCUA2q2C-2A__000045000_000107000,49,154,49,154,46,154,2,144,154,151,3,3
indicconformer,pyannote31,False,PEDfT9-Yf2o__000000000_000469000,430,1051,430,1051,407,1051,18,768,1051,781,3,3
indicconformer,pyannote31,False,PQB3-4sZUeY__000000000_001132000,2755,3024,2746,3024,2709,3024,221,690,3024,694,4,4
indicconformer,pyannote31,False,PRAzUz0GANs__000223000_000283000,166,194,166,194,166,194,9,83,194,83,2,2
indicconformer,pyannote31,False,PSIzXy5-y2E__000002000_000918000,1760,2480,1745,2480,1731,2480,71,1268,2480,1281,3,4
indicconformer,pyannote31,False,PVDfS7lcJHY__000000000_000360000,878,1036,878,1036,868,1036,49,345,1036,348,6,6
indicconformer,pyannote31,False,Pjre5dpnKGA__000000000_000330000,641,769,641,769,641,769,32,274,769,274,4,3
indicconformer,pyannote31,False,QhpjuNTZoA8__000000000_000586000,1443,1572,1443,1572,1157,1572,311,838,1572,848,3,3
indicconformer,pyannote31,False,QuA_B6IZ6Ls__000061000_001863000,6659,6635,6635,6635,6635,6635,1811,2774,6635,2774,4,5
indicconformer,pyannote31,False,RL2fhIEEbZg__000000000_000065000,111,164,111,164,111,164,5,72,164,72,3,2
indicconformer,pyannote31,False,RL2fhIEEbZg__000066000_001034000,1789,2570,1789,2570,1779,2570,93,1236,2570,1248,3,3
indicconformer,pyannote31,False,RWTmftezCwI__000000000_000060000,90,119,90,119,90,119,1,59,119,60,2,2
indicconformer,pyannote31,False,RZUZyvRzi80__000000000_000336000,342,1085,342,1085,327,1085,14,885,1085,902,4,4
indicconformer,pyannote31,False,SZ7ay4OjfAE__000000000_000897000,1832,2159,1832,2159,1805,2159,160,720,2159,729,5,5
indicconformer,pyannote31,False,T3I2T-cfhG4__000160000_000210000,53,116,53,116,53,116,0,88,116,90,2,2
indicconformer,pyannote31,False,TU3M6wSQV_g__000099000_000171000,148,216,148,216,148,216,8,103,216,104,2,2
indicconformer,pyannote31,False,Tlha36rSd5o__000240000_000374000,248,318,248,318,248,318,0,149,318,154,2,2
indicconformer,pyannote31,False,TrPnW5kLAyQ__000093000_000513000,758,1099,758,1099,757,1099,26,573,1099,580,4,4
indicconformer,pyannote31,False,U_EHjxThUgc__000181000_000289000,136,299,136,299,132,299,3,204,299,208,3,3
indicconformer,pyannote31,False,VHlIFsHPWbk__000023000_000470000,717,1329,717,1329,713,1329,27,889,1329,904,4,4
indicconformer,pyannote31,False,VKY0uuZ6Om8__000575000_000935000,764,1077,764,1077,757,1077,25,468,1077,471,3,3
indicconformer,pyannote31,False,VY_4x1scS-Y__000013000_000121000,319,336,319,336,319,336,7,59,336,60,4,2
indicconformer,pyannote31+llm,False,0AEEA8NyVwY__000011000_000609000,767,1333,767,1333,761,1333,28,815,1333,826,3,3
indicconformer,pyannote31+llm,False,0SoItGfM_sY__000007000_000088000,107,165,107,165,107,165,3,115,165,117,5,5
indicconformer,pyannote31+llm,False,0VEwL9XZ0LY__000261000_000557000,279,873,279,873,268,873,18,751,873,768,2,2
indicconformer,pyannote31+llm,False,0esIFSOAcFs__000000000_000913000,1969,2748,1969,2748,1966,2748,18,1117,2748,1133,3,3
indicconformer,pyannote31+llm,False,0p6cktLGIfY__000012000_000930000,2090,2567,2090,2567,2084,2567,44,755,2567,760,6,5
indicconformer,pyannote31+llm,False,13VBh0Z6QmE__000000000_000904000,2472,2499,2470,2499,2470,2499,56,104,2499,104,4,5
indicconformer,pyannote31+llm,False,1LFl5JEipII__000000000_000597000,1498,1590,1496,1590,1494,1590,42,195,1590,196,5,5
indicconformer,pyannote31+llm,False,2HGP34TNvjg__000084000_000194000,213,296,213,296,174,296,64,198,296,205,2,2
indicconformer,pyannote31+llm,False,2LN6vb7EBn0__000098000_000394000,745,751,745,751,743,751,15,30,751,30,3,3
indicconformer,pyannote31+llm,False,2T4pjueLrsk__000677000_001290000,2133,2314,2133,2314,2132,2314,46,338,2314,340,4,3
indicconformer,pyannote31+llm,False,2gGHQgj9yno__000000000_000099000,267,285,267,285,266,285,7,30,285,30,4,2
indicconformer,pyannote31+llm,False,2iMXYxBTwbM__000339000_000401000,181,188,181,188,181,188,13,26,188,26,3,2
indicconformer,pyannote31+llm,False,37dND_0r6S8__000060000_000222000,556,557,556,557,556,557,0,1,557,1,2,1
indicconformer,pyannote31+llm,False,4Qg2jWP6_T0__000136000_000202000,252,266,250,266,248,266,28,49,266,54,3,3
indicconformer,pyannote31+llm,False,6-726qTlYeg__000102000_000162000,204,214,204,214,206,214,8,52,214,52,2,2
indicconformer,pyannote31+llm,False,6ZeRgvDHwcI__000006000_000100000,170,189,170,189,169,189,27,50,189,50,2,2
indicconformer,pyannote31+llm,False,6f6TLzlP8Wk__000082000_000144000,236,236,236,236,236,236,25,76,236,76,2,2
indicconformer,pyannote31+llm,False,7L4gi7Ncc0s__000090000_000148000,66,125,66,125,62,125,2,107,125,117,2,2
indicconformer,pyannote31+llm,False,7WhVNRHbjIY__000091000_001089000,2371,2482,2371,2482,2369,2482,35,275,2482,276,5,5
indicconformer,pyannote31+llm,False,7YfsQPYY-W0__000351000_000411000,208,208,208,208,208,208,7,14,208,14,2,2
indicconformer,pyannote31+llm,False,7c9ePKgqams__000299000_000869000,856,1522,856,1522,836,1522,49,1085,1522,1118,4,3
indicconformer,pyannote31+llm,False,7k-xDqNjESc__000073000_000981000,1493,2239,1493,2239,1294,2239,194,1574,2239,1611,4,2
indicconformer,pyannote31+llm,False,83gP2vLH7UY__000255000_002005000,3893,5799,3893,5799,3883,5799,151,2699,5799,2731,5,5
indicconformer,pyannote31+llm,False,86mMTUeDiR8__000181000_001079000,2138,2393,2138,2393,2068,2393,131,508,2393,512,5,4
indicconformer,pyannote31+llm,False,87Zbup3ohcw__000106000_000445000,582,749,570,749,569,749,11,298,749,300,4,5
indicconformer,pyannote31+llm,False,8Ve4SWhlrrA__000000000_000070000,34,133,34,133,33,133,1,125,133,127,2,1
indicconformer,pyannote31+llm,False,8mvORuRHw2U__000000000_001197000,2915,3492,2915,3492,2916,3492,50,782,3492,803,4,4
indicconformer,pyannote31+llm,False,8o7jKmq6HsM__000030000_001770000,3733,4572,3733,4572,3732,4572,65,1480,4572,1490,6,6
indicconformer,pyannote31+llm,False,8pkp-lpMJP0__000326000_000926000,1249,1535,1249,1535,1241,1535,76,583,1535,585,8,6
indicconformer,pyannote31+llm,False,8r2Nltl0W4o__000259000_000320000,131,253,131,253,131,253,0,159,253,175,2,1
indicconformer,pyannote31+llm,False,90uAd6xpTPo__000016000_000408000,1212,1212,1212,1212,1212,1212,697,831,1212,831,4,4
indicconformer,pyannote31+llm,False,9Aw8kg8w5Xo__000000000_000083000,115,199,115,199,115,199,1,120,199,122,4,2
indicconformer,pyannote31+llm,False,9_GMxc_JjyI__000236000_000368000,217,371,217,371,213,371,8,259,371,263,2,1
indicconformer,pyannote31+llm,False,ARCKJrGkITw__000014000_000496000,796,1375,796,1375,784,1375,49,913,1375,922,3,3
indicconformer,pyannote31+llm,False,ARZl7LT0UC0__000073000_000130000,139,153,139,153,138,153,14,48,153,49,3,3
indicconformer,pyannote31+llm,False,A_dohDOK6Ic__000000000_000600000,1829,1829,1829,1829,1829,1829,440,733,1829,733,3,3
indicconformer,pyannote31+llm,False,B2ScTgeIIck__000117000_000180000,148,174,148,174,130,174,26,67,174,69,2,2
indicconformer,pyannote31+llm,False,BGAAfht5dYw__000000000_000612000,2106,2105,2105,2105,2105,2105,117,234,2105,234,4,5
indicconformer,pyannote31+llm,False,BYLcUGNB_zM__000020000_001387000,1733,3287,1733,3287,1730,3287,39,2514,3287,2585,4,4
indicconformer,pyannote31+llm,False,Bngfppo1QtA__000028000_000927000,2082,2456,2077,2456,2068,2456,71,700,2456,708,5,6
indicconformer,pyannote31+llm,False,CO_8ppdzq9U__000000000_000695000,1386,1591,1386,1591,1278,1591,151,738,1591,755,4,4
indicconformer,pyannote31+llm,False,Cku_X_SL7qU__000060000_000660000,1778,1778,1778,1778,1778,1778,157,214,1778,214,3,3
indicconformer,pyannote31+llm,False,DPmew0didIM__000191000_000512000,503,768,503,768,500,768,24,425,768,434,5,4
