clip_id,system,hyp_missing,der,miss,false_alarm,confusion,jer,ref_speech_sec,err_miss_sec,err_fa_sec,err_conf_sec,n_ref_speakers,n_hyp_speakers,spk_count_correct,spk_count_err,duration,overlap_frac_of_speech,language
0AEEA8NyVwY__000011000_000609000,ic_lid_fallback__pyannote31,False,0.1527135767458344,0.12048741580999647,0.02776497695852502,0.004461183977312925,0.14916359226285478,564.2,67.97900000000001,15.664999999999818,2.5169999999999524,3,3,1,0,598.0,0.0047,Devanagari (hi/mr)
0SoItGfM_sY__000007000_000088000,ic_lid_fallback__pyannote31,False,0.4501359278866785,0.1510087280011445,0.11538131349263098,0.183745886392903,0.673809596851789,69.89000000000001,10.553999999999991,8.06399999999998,12.841999999999995,5,5,1,0,81.0,0.0,Kannada
0VEwL9XZ0LY__000261000_000557000,ic_lid_fallback__pyannote31,False,0.2058445373794632,0.10442055784052842,0.05890851277088469,0.04251546676805009,0.21599255474700157,289.32999999999987,30.212000000000074,17.04400000000006,12.300999999999927,2,2,1,0,296.0,0.0355,Devanagari (hi/mr)
0esIFSOAcFs__000000000_000913000,ic_lid_fallback__pyannote31,False,0.06447848916355033,0.04683225653103944,0.0050444045895544475,0.012601828042956448,0.0751622740042864,925.5799999999991,43.34699999999944,4.6689999999998015,11.663999999999618,3,3,1,0,913.0,0.0232,Gujarati
0p6cktLGIfY__000012000_000930000,ic_lid_fallback__pyannote31,False,0.41449657163478776,0.16119932635630918,0.13643810898592518,0.11685913629255341,0.5721003234264109,831.2999999999986,134.0049999999996,113.42099999999941,97.14499999999948,6,5,0,-1,918.0,0.0329,Gujarati
13VBh0Z6QmE__000000000_000904000,ic_lid_fallback__pyannote31,False,0.17224714794606955,0.044551787888352845,0.01192677097894158,0.11576858907877512,0.2682874376334523,887.0799999999984,39.52099999999997,10.579999999999478,102.69599999999966,4,5,0,1,904.0,0.029,Tamil
1LFl5JEipII__000000000_000597000,ic_lid_fallback__pyannote31,False,0.3528881903603066,0.06440546204285845,0.05126580139255141,0.23721692692489674,0.5000668496887876,591.7199999999982,38.110000000000085,30.335000000000427,140.36599999999947,5,5,1,0,597.0,0.1006,Bengali
2HGP34TNvjg__000084000_000194000,ic_lid_fallback__pyannote31,False,0.307128848793881,0.12907432829966653,0.07095508923318297,0.10709943126103154,0.36099978683513734,101.98,13.162999999999993,7.236,10.921999999999997,2,2,1,0,110.0,0.0128,Odia
2LN6vb7EBn0__000098000_000394000,ic_lid_fallback__pyannote31,False,0.29883570955485017,0.09925750339875165,0.08480147802140345,0.11477672813469508,0.352904307759802,286.86999999999983,28.473999999999872,24.32699999999999,32.92599999999996,3,3,1,0,296.0,0.0238,Tamil
2T4pjueLrsk__000677000_001290000,ic_lid_fallback__pyannote31,False,0.44093852323314,0.19884662080129464,0.10980280342886584,0.1322890990029795,0.6026107082443976,543.6199999999991,108.09699999999961,59.690999999999946,71.9149999999996,4,3,0,-1,613.0,0.0342,Gujarati
2gGHQgj9yno__000000000_000099000,ic_lid_fallback__pyannote31,False,0.3553218079566757,0.1412934805248906,0.09632368256613207,0.117704644865653,0.6416550886270711,96.02000000000001,13.566999999999997,9.249000000000002,11.302000000000003,4,2,0,-2,99.0,0.0798,Gujarati
2iMXYxBTwbM__000339000_000401000,ic_lid_fallback__pyannote31,False,0.7919117647058823,0.26570378151260493,0.25535714285714267,0.2708508403361347,0.8047534980897216,57.12,15.176999999999992,14.585999999999988,15.471000000000013,3,2,0,-1,62.0,0.1275,Devanagari (hi/mr)
37dND_0r6S8__000060000_000222000,ic_lid_fallback__pyannote31,False,0.44698145624740776,0.10704425617631344,0.09601279696664478,0.24392440310444952,0.5273561259542319,168.78999999999996,18.06799999999994,16.205999999999968,41.172000000000025,2,2,1,0,162.0,0.0896,Tamil
4Qg2jWP6_T0__000136000_000202000,ic_lid_fallback__pyannote31,False,0.76069043898281,0.20579627788038043,0.1525074584458019,0.4023867026566276,0.773324537368049,70.38999999999999,14.485999999999976,10.734999999999994,28.324000000000012,3,4,0,1,66.0,0.2093,Punjabi
6-726qTlYeg__000102000_000162000,ic_lid_fallback__pyannote31,False,0.47382627422828477,0.1163675520459441,0.1380330222541282,0.21942569992821243,0.4819758554598642,69.64999999999998,8.105000000000004,9.614000000000026,15.28299999999999,2,2,1,0,60.0,0.161,Malayalam
6ZeRgvDHwcI__000006000_000100000,ic_lid_fallback__pyannote31,False,0.6990363349131119,0.3941232227488148,0.1467456556082146,0.1581674565560825,0.6545377227822489,63.29999999999999,24.947999999999972,9.288999999999982,10.01200000000002,2,2,1,0,94.0,0.0125,Gujarati
6f6TLzlP8Wk__000082000_000144000,ic_lid_fallback__pyannote31,False,0.5696383087111566,0.11725250466972338,0.15316692137884202,0.2992188826625911,0.5933485005040513,58.890000000000015,6.905000000000012,9.020000000000008,17.620999999999995,2,2,1,0,62.0,0.051,Punjabi
7L4gi7Ncc0s__000090000_000148000,ic_lid_fallback__pyannote31,False,0.15863121968744393,0.06225974492545366,0.04167415124842824,0.054697323513562025,0.2362327089747383,55.67,3.466000000000005,2.3200000000000003,3.044999999999998,2,2,1,0,58.0,0.0,Malayalam
7WhVNRHbjIY__000091000_001089000,ic_lid_fallback__pyannote31,False,0.14125897981297883,0.025145483003571965,0.028033069791708495,0.08808042701769837,0.2394298024354066,996.6799999999996,25.062000000000097,27.940000000000012,87.78799999999958,5,5,1,0,998.0,0.0133,Tamil
7YfsQPYY-W0__000351000_000411000,ic_lid_fallback__pyannote31,False,0.5875953307392995,0.14908949416342412,0.11064591439688723,0.3278599221789882,0.6297462828352816,64.24999999999999,9.578999999999997,7.109000000000003,21.064999999999987,2,2,1,0,60.0,0.1219,Odia
7c9ePKgqams__000299000_000869000,ic_lid_fallback__pyannote31,False,0.33262126798236086,0.06504012144870919,0.03499421672811374,0.23258692980553797,0.5967420456413165,553.32,35.98799999999977,19.362999999999897,128.69500000000028,4,3,0,-1,570.0,0.0055,Telugu
7k-xDqNjESc__000073000_000981000,ic_lid_fallback__pyannote31,False,0.34781247562918516,0.1309996769126219,0.059905970431935095,0.15690682828462812,0.6662693046489101,897.5899999999988,117.58400000000015,53.77100000000055,140.83799999999917,4,2,0,-2,908.0,0.0421,Malayalam
83gP2vLH7UY__000255000_002005000,ic_lid_fallback__pyannote31,False,0.3277894129045502,0.13334572963662417,0.0950034742271071,0.09944020904081899,0.3206966301667134,2043.61999999999,272.5079999999965,194.15099999999964,203.2179999999975,5,5,1,0,1750.0,0.2022,Devanagari (hi/mr)
86mMTUeDiR8__000181000_001079000,ic_lid_fallback__pyannote31,False,0.5481516127072829,0.1848205065905373,0.13728482050659083,0.22604628561015477,0.6580313087190539,823.1499999999991,152.13500000000062,113.00600000000011,186.06999999999869,5,4,0,-1,898.0,0.0517,Bengali
87Zbup3ohcw__000106000_000445000,ic_lid_fallback__pyannote31,False,0.22286740590348228,0.11496486022177085,0.05557394971107267,0.052328595970638755,0.3493436587820915,320.15000000000003,36.80599999999994,17.791999999999916,16.753,4,5,0,1,339.0,0.0152,Tamil
8Ve4SWhlrrA__000000000_000070000,ic_lid_fallback__pyannote31,False,0.08069268139789999,0.048080238207177516,0.0004074596458235634,0.03220498354489892,0.5392110676653947,63.809999999999995,3.067999999999997,0.026000000000001577,2.0549999999999997,2,1,0,-1,70.0,0.0,Odia
8mvORuRHw2U__000000000_001197000,ic_lid_fallback__pyannote31,False,0.15919159507297181,0.08624279750198328,0.0367551668219292,0.03619363074905933,0.17631834331156115,1159.3199999999972,99.98299999999902,42.61099999999885,41.95999999999937,4,4,1,0,1197.0,0.0417,Gujarati
8o7jKmq6HsM__000030000_001770000,ic_lid_fallback__pyannote31,False,0.16202652694000833,0.06544198363568335,0.06240055226735195,0.034183991036973047,0.15663927198456246,1767.2599999999961,115.65299999999749,110.27800000000016,60.41200000000086,6,6,1,0,1740.0,0.0471,Devanagari (hi/mr)
8pkp-lpMJP0__000326000_000926000,ic_lid_fallback__pyannote31,False,0.41003905352630315,0.14315414656558756,0.04822105444521041,0.2186638525155052,0.6818068125598248,696.4799999999989,99.70400000000026,33.58500000000009,152.29499999999882,8,6,0,-2,600.0,0.2032,Telugu
8r2Nltl0W4o__000259000_000320000,ic_lid_fallback__pyannote31,False,0.18062818615359327,0.06163459957243883,0.033481335306693,0.08551225127446144,0.5748319396622398,60.81,3.7480000000000055,2.0360000000000014,5.2,2,1,0,-1,61.0,0.0227,Punjabi
